	id	sentence1	sentence2	is_duplicate
245226	d6a34e2c9e5f9d2fc82302a8f	Which is the best IAS coaching in Delhi and Patna?	Union Public Service Commission (India): What are some good IAS coaching centers in Mumbai?	0.0
106424	789888603126b41262173d1f3	What is the difference between robbery, heist, burglary and dacoit?	What should you wear to a robbery?	0.0
147859	e67ff5db68e33c950db0b5b2e	How do military reserves work and when are they used?	"""What is """"staff work"""" in the American military?"""	0.0
45145	77d8e79f30440077dd35f161c	How do I jailbreak iOS 9.3.4?	How can I jailbreak iOS 8.4?	0.0
353474	24cfe8b8f4c057f5691fe69bb	How do I multiply two numbers?	How do I multiply two complex numbers?	0.0
274288	d207872c4761291729e4d0973	Does searching for air tickets in an incognito web browser prevent airfare search engines from increasing prices on flights that you search for often?	How do you search for red-eye flights?	0.0
264776	d5b9aa4c2da3dd7c5880c7cda	Is it legal to question or criticize the actions of Indian army or judiciary?	Do Indian filmmaker have right /freedom to make those film and allow to be aired in India - anti India or very critical of the govt or its policy?	0.0
107537	3941055f5af44f345a93cf91a	If a person has sexual urge and he does not sex, Does his brain work slow?	Is it ok if my partner wants to talk about someone else doing me and dating me while having phone sex? Does it mean that he does not love me as he is not possessive about me?	0.0
344118	95c07aae1a5a26e6a8ec31886	Why do they study human anatomy?	What's the best way to study human anatomy?	0.0
336295	42f02cbf322602e7fa1f0a47d	How do I deal with a heartbreak of someone you loved?	What's the best way to deal with heartbreak?	0.0
335933	7823ec41023f9945f3e498665	Does the FBI/CIA/NSA actually have the technology that we see in the movies?	Is there a real person (CIA SAD agent, FBI, NSA, Delta Force, Seal, etc.), living or dead, that is close to skills and abilities to Jason Bourne?	0.0
294543	3481bbda05a785d324cf3ea8c	"""What are the disadvantages of """"GST"""" bill in India?"""	Is GST bill is favorable or not?	0.0
118281	70eaaf2b039aa2f228c303f38	Where's a good university to study Computer Science in the UK?	What are some good UK universities in computer science?	1.0
112194	d17a735279dcd7a88a7456478	Why do we need laws in society? What would life be like without them?	How does law change the society?	0.0
358035	d15696e56f72d095d702d74e6	What is the event horizon in a black hole?	What is an event horizon of a black hole?	0.0
228021	393c0d0c0e7d1354c97a2de21	Is there any free graduate physics tutors online for the IAS exam?	I am b.tech second year c.s.e student, I did not which feild I can choose whether gate or cat or simply join a company after b.tech?	0.0
176552	e4f05dd49ea3f9d49bc06e478	Which is the best IIT JEE coaching classes in Nashik?	Which coachings AOTS are the best for the IIT JEE?	0.0
16556	4fdf3512ff8c661451be93a0f	As an INFP, what is your Enneagram type?	What is the Enneagram theory?	0.0
42623	6123c84963c327b914eaf225b	What are the safety precautions on handling shotguns proposed by the NRA in Minnesota?	What are the safety precautions on handling shotguns proposed by the NRA in New Hampshire?	1.0
201816	a97d6f10723d294e64da2bbc7	Can I really do anything if I believe I can?	If you believe enough can you really do anything?	0.0
354591	d6c915cf81f203be66429f419	I am not balding that much. Can I use minoxidil? And can I stop it later on?	After graduating from NIT jamsedpur and having 4 years of work experience in L&T, joining NPCC as assistant engineer (none executive) is right?	0.0
204378	a2a18505c33663124aea5e2f9	How do birds fly in perfect formations?	How do birds fly in formation? Why do they do so?	1.0
132954	1f9a855d850d6f34e65157f36	What would happen if copyright laws were non-existent?	Hypothetical Scenarios: What would the world be like if there were no copyright laws?	1.0
59029	392538dd3152217c1451442eb	Why did the US and Vietnam War start?	How many US veterans of the Vietnam War are alive today?	0.0
163247	8c58270b0f92ca701280ae101	What are some works of literature you associate with musical chords?	What are some good books for a beginner who wants to study human behaviour?	0.0
265223	dac571009596e416e85baf6e3	What does chronological order mean? What are some examples?	What is chronological order?	1.0
162637	f255d6019b58811ddeff2580a	What is the saddest thing about your father and/or mother?	What is the saddest thing you've ever seen as a police officer?	0.0
366862	8219ebb9223490f4cd57d465f	How do you find out if your son is gay or not?	How do I find out if my son is gay?	1.0
34121	8a0fdc427cb835692bd45d4a8	What is the Personal Property Security Act and how is Nova Scotia's different from Manitoba's?	What is the Personal Property Security Act and how is Nova Scotia's different from Newfoundland's?	0.0
311890	47ced81579270d54f7cc0e54e	If humans evolved from apes, why are there still apes?	If we evolved from apes then why are there still apes around today?	1.0
357697	32fdb550616849e502143448a	Is an outgoing call on Jio free for life?	Are Jio calls really free for life or not?	1.0
74152	3673e1d3eaa29f9399f9e29b9	Could not get user data from social network?	What if social networks didn't consume any data?	0.0
104059	43eafd128b3abf0d73497c836	How do I search in Quora?	How do you search on Quora?	0.0
50582	15b451bce606fa5fef0b883fc	What are some examples of popular sovereignty?	What is popular sovereignty? What are some examples?	1.0
226494	27c6ba07308485e041a71d57b	What are the characteristics of nerve impulse?	What pathway do nerve impulses take?	0.0
324916	27e3d2a6b6e698f438a1f1499	Can a brain transplant be done?	Could a brain transplant be possible within our lifetime?	1.0
131392	f8a617313297db74b19917ad9	What was the average life expectancy of a soldier in World War II?	What are the 5 most honest World War II films?	0.0
195043	18697014a033c397877aaf824	How can I travel to other countries for free?	How can I travel around the world for free?	1.0
183442	e9f1e28ec2e7f4582f9a3464d	What are some good and bad benefits of banning 500 and 1000 rupees notes in India?	What are the pros and cons of banning 500 and 1000 rupee notes in India?	1.0
177554	32aea49b4dc9ccd09e60f16da	How common is it for women to ejaculate (squirt) during orgasm?	What does it feel like for a woman to have an orgasm?	0.0
130016	ab404b15b68dad3e2c804b312	When on instagram if you have a private account can the people you follow see your pictures?	My Instagram account is set to private. If one of my followers hit a like in my picture, will it appear to others that aren't following me?	0.0
369218	4baf24468ce22fbcf8e425788	What are some of the best mottos to live by?	What is the main motto of living life?	0.0
95868	223727ff0a6a7cd641586fa10	How are the day to day lives of people who were born completely blind and those who became completely blind later in life different?	Why is detachment so hard?	0.0
260684	02b4d883167ff1d21a935adeb	How can I retrieve and recover deleted items from my Gmail after mistakenly deleting and clearing trash?	How can I recover my emails from my Gmail account?	1.0
194721	c321c81c5bb66da9247abd855	Will WWE ever go out of business in the future?	How do you catch group C strep? How is it treated?	0.0
116552	c91b2e780c852a803be34834a	Does donating blood help you lose weight?	How can I lose weight quickly?	0.0
39800	220eccdc21364159cbeb77d98	Who is most likely to be President of the United States on January 20th, 2017?	Who will be president of the united states?	1.0
218990	bfbecb07b9285a1c29585d8ac	Passport: While filling up my application form I made a mistake in my mother's name spelling, and submitted the application. How can I rectify it?	Passports: I have filed my online passport application form, submitted it and taken an appointment also. But now I have found a mistake in it. Can I rectify it at the PSK on the appointment date? What can I do now?	0.0
158546	6c6ee96a236d1b81f6cd9c999	How often people have sex in relationships?	How do people have sex?	0.0
304584	7c7483f8f82f72ef4fe7d4478	What was the exact sequence of events for the 1999 coup d'etat in Pakistan?	What is coup d'état?	0.0
331333	d6b49c74db2d2c223c13cf752	What is best way to increase presence of mind?	Is there any way to develop my presence of mind?	1.0
391956	5a8cc6ff61ac77be002e7b3dd	What are ionic compounds?	Are ionic compounds molecules?	0.0
160522	bfe70b62dd2d97e45729af364	What is the source of income for the person who runs mo vlogs and what is his real name?	Who is Mo Vlog?	0.0
106836	d033af3cbbdd0c53209df974f	How can I become a pro at Clash of Clans?	Did anyone go to Town Hall Level 11 in Clash of Clans without paying any real world money?	0.0
185190	809cbd24ee06f610f92c1e47f	Household income $280K and able to pay $130K down payment, can I buy a house in San Francisco?	Should I buy a house in San Francisco Bay Area right now?	0.0
268729	18bae0d5cf4bdb2891055ca1e	How accurate is the CL IIM profilizer?	Is it worth doing an MBA from baby iims or should I take cat again and try for older, better IIMs? My profile details are in the comment. 	0.0
259841	83d331c2997c8d3236f02f385	What should I do to reduce weight?	How can I lose 4kg weight?	1.0
279427	13923191d3cea34cd61f096be	What is the psychology behind a person who is uncomfortable around you when she is alone but acts very friendly with you when she is with her friends?	I have a friend and I am interested in her. She acts like she's interested in me but denies it when asked. What do I do?	0.0
83696	ecccf8b30daf780d2cfc65bda	What does Bjarne Stroustrup think of C++?	How did Bjarne Stroustrup turn C into C++?	0.0
334403	5efe2b6afdf34f6c579345b0f	As a teacher, has there ever been a moment where you were flabbergasted or stunned by something someone did?	What is the Python conda root on iPython?	0.0
14703	59b8cd85ca47a4ece6d6b45ba	What are some mind blowing coincidences?	What are some mind-blowing coincidences in science?	0.0
105902	c8f12d9b17fd336d2aeb522c3	What are words for technical dumb charades?	What are some words for dumb charades?	0.0
50117	5d690a04eddaedb0a97b0fddc	Is it possible to feel true love more than once in your life?	"""Can you be """"in love"""" more than once?"""	0.0
251101	ac627a5e0933c871632bb912c	Where can I learn python for absolutely beginner for free?	Where can I learn python for free?	1.0
229988	28ace3924683d87b64188b6c7	What is resistive touchscreen and capacitive?	What is a capacitant?	0.0
318703	05c9be373102af8ab06917ca5	What is the procedure of retest in NMAT Exam?	How is the recommended amount of suboxone determined? What factors are considered?	0.0
58289	0367a56d0527541a86c45b53d	How can I take advantage of Quora to improve myself?	What are some creative ways to use Quora?	0.0
9139	13359efde27009b62b32e1abb	Where are indoor badminton clubs located around rajajinagar in bangalore?	I'm a 23 year old girl living in Bangalore. What are some suggestions for clubs around me from which I can improve my skills?	0.0
269988	32dc7cc7c99aa57e49c4d4675	What is the best browser for facebook?	Which browser is best to open Facebook?	1.0
229794	199bc777553ede3a47bea91b1	"""What's the difference between """"organization"""" and """"organisation""""?"""	What`s the difference between trusted and trustworthy?	0.0
111153	83e17296011b4f135baf41917	Can you get pregnant 2 days before your period has ended?	Can you get pregnant 8 days before your period?	1.0
76453	80efe5cf281e459ab520a6cc3	How can I dress to hide my belly fat?	I have very sore leg muscles even after 7 days of workout, is it normal?	0.0
313373	fc7bc426e660b71ee0b886ab8	How can I retrieve old Kik messages to my email?	How do I send old Kik messages to my email?	0.0
95954	5a8d7a779553254c1ad805e77	How can I specifically improve my English?	What should I do to improve my English ?	1.0
327984	979fa9af27a178bf81e82d8d9	What is the difference between strong, retain, nonatomic, etc., in the Objective-C (iOS) property?	What is the difference between atomic and nonatomic property in objective c with some example?	0.0
96515	47678c832cc9f3827147c2e68	What are some good mutual funds to invest in at the moment?	Are mutual funds worth the investment?	0.0
131861	8018a021869473e63641ca66a	What are the chances of WW3 in 2017?	Is WW3 inevitable?	1.0
386043	9823ff46d112200470d9aeb78	What is Qualitative research? What are the limitations and delimitations?	Was the Eric Trump Foundation caught funneling cancer research cash directly to Eric Trump's father, Donald Trump?	0.0
88816	1c20224ffe50ef0b4df4ccf59	Renewing Indian passport while working in different country, what should we choose present address. Planning to apply during temporary visit to India?	Are we overusing gadgets in day-to-day life?	0.0
8184	e36a37947def010e56211e362	How are DNA methylation and histone acetylation related to epigenetics?	What causes DNA methylation and histone acetylation?	0.0
321088	8806ec22e049f20dd9e78880f	How can I delete a message sent by me in a group in whatsapp?	Can I delete WhatsApp messages that haven't been sent yet?	0.0
109508	50a84ee83f631beacc075fa18	Is structural analysis the hardest subject in engineering?	Structural Engineering: What are the main differences between SAP2000 and Etabs? Which one is better for building analysis and design?	0.0
150793	bf03ab549ebe7f0b074ca1f34	Can I make 40,000 a month playing poker?	Can I make 50,000 a month playing poker? Why or why not?	1.0
357502	4f4a5ac7f3b0fff26068e0b60	Is it physically possible to travel back in time?	Is it actually possible to travel through time?	1.0
65896	d7288683b4d09bfbd7ded99d1	"""What does it mean to """"follow"""" a question on Quora?"""	When you follow someone on Quora, do you see everything they write? What does it mean?	0.0
143005	59952a95e43d7c1ed1e63dfec	Is Ticketluck a reputable site for purchasing tickets?	How can I buy tickets on Damai?	0.0
388367	fec7b07770d4b9bd68d91ab6f	What should I do if I forgot my iCloud password?	How do I get my iCloud password?	1.0
198795	ac5db9c71f2a498528d07f848	How has South Korea avoided economic stagnation like Japan?	Sap course for computer science course?	0.0
112557	08db78784bd3dc829cf3767bb	Is it possible for diabetes to skip a generation and then reappear again?	Why do diseases skip generations?	0.0
248004	8db5aac62a67db147c52eeaaf	What does Robert Kubica do for living now?	Who can be considered as the greatest scientist of all the time? Why?	0.0
233422	6f937b2d87c496912cf1b06a2	What is the difference between an apartment and a condominium?	Where do I find condominium buyers in the philippines?	0.0
375821	962df7b4960e7104b567b3764	What are the major characteristics of nonsocial people?	What is the reason why Herbalife is bad for you?	0.0
69632	8ba282ed7f84d10b78970290f	How can one learn hacking step by step?	How should I learn hacking by myself?	1.0
270920	29fd356eaca66fc534e257839	What impact did Imperialism have on India?	What is the impact of imperialism in today's india?	1.0
385679	e84cbde6a2bdfaf327324edb8	How do you get a text to someone who has blocked your number?	How do you call someone if they have blocked your number?	0.0
137308	e8a8316dc7321886d4d7abf57	What is the most shocking thing you saw your sister do?	What is the best thing you've ever learned on Quora?	0.0
134446	9ca2a4092120f186b91fd2496	In language c and c++ what is # this name?	How can I import goods to Malaysia being a foreigner staying in Kuala Lumpur for studies?	0.0
119641	66c043feeb70774cb640e3435	How do you train a dog?	How can I train my dog?	1.0
228417	b2b80fc4b0fc853b6e6157db0	How does Apple maps get the real time traffic data?	How does Apple Maps get traffic details for a route?	1.0
54646	208ed1a88d900980a5aff49e8	What would be a blissful day?	What is blissfulness?	0.0
313616	d97daecc1d0f8bccc4853ed02	What do people with Narcissistic Personality Disorder feel when they have to admit they are wrong or have been proven they are wrong?	Do people with Narcissistic Personality Disorder ever feel intense loneliness?	0.0
37346	91a30181f91792e2b19ce8c1a	If universe expands and vacuum energy is created with it (with no limit),is there infinite potential energy/infinite vacuum energy that can be created?	If energy is created and not conserved in an expanding universe (that expands without limit) can infinite energy be created then?	1.0
190970	194feb43efbf98acee2951252	Where can I find accurate study materials for the 400-101 exam?	Where can I find accurate study materials for the 70-433 exam?	0.0
352087	fbef84a432c7f9e571d8cfe1b	Is the housing market going to crash?	When is the California housing market going to crash?	0.0
67719	e2b90301d2db89c11b2ff85f4	If I lay in bed for hours in the dark, can it qualify as rest/a form of mild sleep?	If I have a flight booked with one airline with a long layover, does that mean I can leave my bag(s) checked and not deal with it as I wander out in the city for a few hours?	0.0
350853	0367458883d2f3b55fe03e60c	How do gay (and lesbian) people have sex?	How do people have sex?	0.0
178459	32359e2bc33fadfdf589dc4b3	What should I earn monthly to be considered rich in the Philippines?	"""What would make you feel """"Yeah, I'm rich""""?"""	0.0
262723	c807845bed2fe8dcb15e808a7	Why don't Muslims worldwide speak out against radical Islamic groups that do immeasurable damage to their brand of religion/cult?	If Islam is so against blasphemy, why don't Muslims kill the terrorists who bring a bad name to their religion?	0.0
343920	52d1bd8cd3c191a96d5875d7d	Why not people accept homeopathy?	Why do people disregard homeopathy?	1.0
374138	66cf1539d3cc78a3c41f2c5b9	Should I text the girl I like all day every day?	When a girl chats with you (and only you) on the Internet until very late every day, is there any possibility that she's in love with you?	0.0
341428	10222e41dd907d02d847f4a81	Is it possible to visit to Saudi Arabia with Dubai's visa?	My tancet score is 48 I belong to bc category which college I expect through counselling?	0.0
247386	08ffc34341da52cbcd31f1ecf	Who are some lesser known important historical figures of Qatar and what should people know about them?	Who are some lesser known important historical figures of Bulgaria and what should people know about them?	0.0
403979	d2e815ac4529d3e04cd34e680	Why should I answer a question on Quora?	Why should I answer Quora questions?	1.0
94277	c9f27e4cedd809c42556c6e56	What are the safety precautions on handling shotguns proposed by the NRA in Michigan?	What are the safety precautions on handling shotguns proposed by the NRA in New Jersey?	1.0
189121	6ac4a86af09e4baabd1c4308c	What is your prediction on the economy growth in the next four years? What was the state of economy growth during President Obama's tenure?	What were some of the farming tools used in Mesopotamia? Are they still used?	0.0
87879	6dd7cbc67b7ee6b9d454d3640	What does squirting feel like?	What is squirting?	0.0
173021	36ead25763ea9d45be31ba596	What is oscillator?	What is the S&P oscillator used for?	0.0
204453	6b986467d069d395d356de4c7	How does it feels to get spanked by stranger?	How does a man or woman feel when they have to marry a stranger ?	0.0
18354	56e3388db448c8559480a16af	What is depression exactly?	What is depression for you?	1.0
367062	bb05f145e1be5a74c1ecafad5	What are the most annoying questions that you feel ridiculous in Quora?	What are the most annoying questions that you come across in Quora?	1.0
225447	17bd6858ff5eac0aa23e48a28	Why ac circuits need complex analysis?	Why does a generator use AC and not DC circuit?	0.0
359711	020712ebe69c264385666d878	Is there any legit way to get a free Xbox Live Gold membership code?	How can I get a Xbox live membership for free?	0.0
305095	d5f7045a31b8af54c37327df9	Do Americans watch and play cricket?	Why don't Americans play cricket?	0.0
249143	59e0faed7ae81072dea3fe9cb	Why is Queen Victoria important to world history?	Did people like Queen Victoria?	0.0
278711	c382a8995f19c3b2857617d9e	How can I delete my Quora account in one minute?	How do I unsubscribe and delete my Quora account?	1.0
371494	074ef08ab977e1aa5fc7f4997	Who will win the US election in 2016?	Who will win the 2016 U.S. presidential election and why?	1.0
6312	b8a44c79ab9854073637ba3dd	When does Aurora Borealis occur? What causes it?	Why do aurora borealis appear?	1.0
164389	4686c07c4faa40e34503a3557	What would your past self tell your future self?	Are private school teachers generally happier than public school teachers?	0.0
320655	6aa92612184bf9e476668aab1	Things: What do you think happens only in India?	"""Can you give some examples about """"it happens only in India?""""?"""	1.0
309846	7053fb229ed81919bf0a1b16b	How do I know a married man wants me (a gay guy)?	How do you know when a married man is in love with you?	0.0
47076	2a436d1648f7f58f34a3a85ae	Which is a suitable solar panel installation provider near Nevada City, California CA?	Which is a suitable solar panel installation provider near Sunnyvale, California CA?	0.0
176304	cb58a46b98bb80a204ef5fab2	Do Indians still believe that they were rich before British misrule in India? Why?	On what basis do Indian people claim that before colonization, India was the richest country?	0.0
360643	368fb7b242698a2b4ac94fbfb	What is the value of pi ?	What is the value of pi?	1.0
380485	513806c63264452c7029a5a83	How does the HP OfficeJet 4620 Airprint compare to the HP DesignJet Z5200 44-in Photo Printer?	How does the HP OfficeJet 4620 Airprint compare to the HP DesignJet T1530 36-in PostScript Printer?	1.0
96044	0433e2eac4e7983696776ee39	Which is the best Bca colleges in Lucknow?	Which is the best BCA College in Lucknow?	1.0
120391	ae4c4a37922c5a264b84b644a	How can I calculate the conversion rate on Facebook?	How do you calculate the conversion rate for your Facebook page?	1.0
162424	73c6b9c0461be7aa240e8daa2	When is Amniocentesis performed?	What is amniocentesis in biology and how is it used?	0.0
323574	8c2a2ccd191f65a73294fa9a0	Who is winning the US presidental election?	Who will win the US election?	1.0
251773	daefee1448fb8fbe237eafdd2	What is the easiest way to get an IT Job in Canada?	How does one get a job in Canada?	0.0
61109	94045df3b9e24d5eb29fa84fa	what is it like being black in Australia?	What is it like to be black (African migrant or African American) in Australia?	1.0
43143	0356206b59f3ea27e90213aec	Any hippie places to visit in Goa?	Which is the best place to visit in Goa?	0.0
142102	711759b6715313f5bb1bbda92	What prompted Wheel of Fortune to use the letters R S T L N and E in the bonus round?	What is the Price is Right wheel made of?	0.0
137255	3ca56a12ad9bde3807ee44097	What are some of the best YouTube music channels?	What are the different music YouTube channels?	0.0
139235	ba833712ff227560b4a64030e	Can the caste system be eradicated from India? If so, how?	What are your ideas for eradication of Caste System from India?	1.0
22322	7233514c4b6e1ae56c338d2d9	What does it mean when the police take a report and they suspend it?	"""What does it mean when you file a police report and the police later tell you it's suspended """"basically closed""""?"""	0.0
179622	9a032536ebf47ff0e79b5e84e	Which laptop should I buy, Dell or HP?	Which all in one I should buy, Dell, Lenovo or HP?	0.0
118815	d278070d19cbafed30e7e84d8	Where can I learn to sing exclusively online?	How/where can I learn to sing online?	1.0
26868	47c8ff0903e3fc025699337be	What is the significance of BICSI CEC?	Which authority is able to track SSN?	0.0
353443	afaf82b8223aebb1eb59fafc0	Super Smash Bros. Brawl: What is the best Jigglypuff strategy?	Super Smash Bros. Brawl: What is the best strategy against Jigglypuff?	1.0
342815	997def7c772408f76ea3e0836	Why has Skype suddenly become so unreliable?	Why does Skype suddenly start appearing when I log in to my computer?	0.0
176487	e617644e88480fd1a744d4c09	Where or how can a data-analytics-modeler work less than 25hrs per week?	How can I understand boys mind?	0.0
324470	7a6938e372fb1c963e78c8d63	Why do dogs like to smell other dogs' butts?	Why do cats and dogs smell each other's butts?	1.0
57912	26c231499bcf25197b77096c8	Assuming you could pick any time to time-travel. What would you bring (data, books, equipment) with you assuming you had time to prepare?	If you could force five people from any time in the past or present to play Russian Roulette with you until only half the group remained, would you do it, and if so, who would you pick?	0.0
65162	88232ea0f4c370a26ff2c62ba	Why is engineering more favoured in India?	Why is engineering more favoured?	0.0
32861	438c297ad458028d3c9c1ec99	What are pros and cons of 500 and 1000 currency notes abolishing?	What are the pros and cons in the various sectors of the Indian economy by banning Indian Rupees of 500 and 1000 notes? What lead to this short notice by PM Narendra Modi?	1.0
84401	d702d9dd2bf393b30521ca525	How did Jimmy Wales get the idea of creating Wikipedia?	How did Jimmy Wales get the idea of founding Wikipedia?	1.0
58007	b3d838daea2798e594abc794a	Why the electrons did not vanish from solar cell?	Does Moore's law apply to solar cells? Why or why not?	0.0
230268	b7bbd222375beb7504a4fbbca	How late have you ever gotten behind on your car payment? Did the lender work with you?	Have you ever romantically pursued someone you work with? How did it work out and how did you do it?	0.0
189675	2846725e40f574d546405acfa	How widely accepted are credit cards at small businesses and restaurants in Kuwait?	How widely accepted are credit cards at small businesses and restaurants in Italy?	0.0
134983	9ccaab4ef1ce2c4223a9b8e73	What are some good sources about Ottoman History?	What is a good accessible book on the Ottoman empire?	1.0
252725	0de24fe3cef68245bd9e5bc02	Is it better to exercise 20 minutes every day or 40 min every other day?	How would walking 3.5 mph for 30 mins every day improve mental health? Would it make any difference on my day-to-day mood?	0.0
329361	b504be85682b0e8474472104b	What are the difference between jquery versions?	What is the difference between front end and back end development?	0.0
338651	6583db7edf2926acab2ac4754	What are the best aspects of living in Jakarta as a young adult?	BestRadyance Skin Brightening Complex.?	0.0
56284	05c41c9cc71680b943a8abc20	How can I transfer money from one bank to another?	How do banks transfer money to one another?	0.0
330944	8e777f76963c6e85d520dd070	What budget belt grinder would you recommend for a beginner knife maker?	What belt grinder should a (beginner) knife maker own?	1.0
374074	5d2bf16fb6e5edf9f7dd50006	How do CNC and VMC machinery work deeeply.?	What is the difference between CNC and VMC?	0.0
401518	3c1e6c6302526f115dce0bd5c	How do I approach a guy?	How can approach guy I like?	1.0
385390	7605e13c32a340f1dc47149ce	Which direction is the best for sleeping?	What is the best direction for sleeping?	1.0
402982	85d3d998ab5dd13895b837f1b	What is the difference between 'due process of law' and 'procedure established by law'?	What is the difference between law of demand and law of supply?	0.0
328036	003e8271435e2585e9e3374d2	What's punjab's growth rate?	What is the growth rate of real GDP per capita?	0.0
140595	7f8c7cfa683cc4498b3fc1982	What are all the food standards available for fruit products?	Why did bobby deol become a dj?	0.0
299136	2eceeae23f045178efb389cb5	How do I download the APK from the Google Play store to a PC?	How can I download .APK files from the Playstore onto my PC?	1.0
345735	16634a4469c1c25607d8815eb	What is the meaning of below sign?	What are the meanings of these signs?	0.0
263394	b2a88dcfb437f5a9e89626066	Does ResultSource.com have any competitors?	Are SalesCrunch.com and GoInstant.com competitors?	0.0
322535	e363fb226f333e2c41357e0b6	Where can I find the best wedding planners online?	What are the best online portals to find good wedding planners?	0.0
62337	dc1c6706d0a6605e86e126a32	Who was associated with environmental determinism? What were his major contributions?	What is the best country in EU for early-stage startups?	0.0
57585	346aa76c4e44a3a2b0099b8f8	What are covalent bonds? How do they occur?	What is the meaning of covalent bond?	1.0
208669	cac0c0d5e80b3c952b08e7ef4	I am a Bsc IT graduate and work as a business analyst in bank.Would ICWA help enhance my opportunities?	I am currently working as a business analyst in a product company. What do I have to do next?	0.0
133861	0a29bf792ebed5dba36b57145	If God created us then who created Him?	If God created us, then who created him?	1.0
328338	4455ce7c7903967d16e6754c3	What is the Sahara, and how do the average temperatures there compare to the ones in the Sonoran Desert?	What is the Sahara, and how do the average temperatures there compare to the ones in the Namib Desert?	1.0
74712	1e4f051404e1cfdd3f3d3bba1	How can one become a good orator?	How do I become a good orator?	1.0
400300	3d340dc226b60183c2699ca1f	How can we control anger?	What is the best treatment for controlling anger?	1.0
266060	dbc2465481b7a3102916a63af	What are the benefits of learning python programming?	What is the benefit in learning Python language?	1.0
196084	623f6c1441ef69c43453928f6	"""What are some interesting facts about Meredith Grey, the fictional character from """"Grey's Anatomy""""?"""	Is Grey's Anatomy medically accurate?	0.0
260053	598e7860505ba8be061270d9a	Is there anywhere in the world offering pain management for peripheral neuropathy as opioids haved been banned in US?	The pain of any human being anywhere in the world causes sorrow for a fellow human being.do you agree?	0.0
57043	872a18f3b602786e79b39a891	What are signs my guy friend is flirting with me?	What are signs that your guy friend/ buddy is flirting with you (we are both in our mid twenties)?	1.0
